time,lon,lat,depth,mag
2022-10-18T22:20:11.075000Z,-68.5216,-21.5546,141.869,4.4
2022-10-18T07:35:33.566000Z,-71.4659,-30.6997,47.379,5.0
2022-10-18T04:57:06.250000Z,-69.2842,-31.7251,123.473,4.2
2022-10-17T22:35:06.854000Z,-66.9101,-21.5982,219.922,4.2
2022-10-17T13:38:22.577000Z,-69.2558,-18.414,129.492,5.2
2022-10-17T09:38:16.621000Z,-76.7555,-12.7146,46.78,4.2
2022-10-16T03:30:04.025000Z,-67.0415,-24.5333,160.112,4.1
2022-10-15T21:45:21.272000Z,-67.0509,-24.3086,167.372,4.3
2022-10-15T15:11:06.580000Z,-69.3053,-25.477,110.864,4.0
2022-10-15T14:41:05.708000Z,-71.292,-32.6817,58.327,4.8
2022-10-15T07:39:53.073000Z,-79.9025,-2.2212,72.292,4.7
2022-10-15T06:52:57.885000Z,-68.5999,-21.5913,129.979,4.2
2022-10-15T05:37:08.191000Z,-70.1349,-17.3886,129.222,4.4
2022-10-15T05:23:11.862000Z,-80.8095,-3.907,50.494,4.5
2022-10-14T17:31:12.120000Z,-71.3494,-31.7196,49.436,4.2
2022-10-14T15:35:32.373000Z,-69.0116,-18.7512,157.865,4.1
2022-10-14T03:08:46.180000Z,-66.6969,-23.993,191.081,4.5
2022-10-13T16:44:58.466000Z,-70.249,-19.7706,48.891,4.0
2022-10-13T13:53:05.573000Z,-69.3175,-25.3554,158.322,4.3
2022-10-12T17:57:12.635000Z,-75.3951,-12.4656,98.397,4.7
2022-10-12T15:09:58.501000Z,-71.4132,-30.7864,61.522,4.5
2022-10-12T03:54:41.478000Z,-72.7095,-15.9249,91.964,4.1
2022-10-10T22:51:12.587000Z,-68.3968,-23.3981,115.934,4.5
2022-10-10T19:34:06.411000Z,-69.4101,-29.4123,114.512,4.5
2022-10-10T11:19:02.274000Z,-71.6477,-29.7808,32.78,4.8
2022-10-10T11:10:38.058000Z,-69.5405,-17.5379,169.213,4.3
2022-10-10T07:58:28.444000Z,-70.9413,-33.0276,71.318,4.1
2022-10-09T22:48:58.620000Z,-66.6813,-23.9948,219.921,4.3
2022-10-09T16:19:08.663000Z,-69.0772,-26.2583,114.215,4.2
2022-10-09T14:15:35.754000Z,-71.4967,-35.655,96.183,4.1
2022-10-09T03:07:59.244000Z,-68.4159,-22.0725,114.698,4.1
2022-10-08T05:15:55.137000Z,-78.7581,-10.1708,46.569,4.4
2022-10-08T04:30:44.230000Z,-66.6132,-27.7912,158.929,4.3
2022-10-08T00:27:18.801000Z,-67.6388,-21.7921,240.355,4.4
2022-10-07T14:55:16.693000Z,-81.0246,-0.5854,10.0,4.3
2022-10-07T08:54:26.521000Z,-68.8769,-22.3257,130.599,4.5
2022-10-06T15:56:47.958000Z,-78.0757,-1.9239,160.383,4.3
2022-10-05T21:38:42.080000Z,-71.1903,-27.4345,31.521,4.1
2022-10-05T20:46:10.373000Z,-74.5376,-7.9044,158.591,4.3
